CNT,TIME,X,Y,TRIALS
43629,717.63354,0.57146,0.02176,0
43630,717.6499,0.57355,0.02852,0
43631,717.66638,0.57323,0.01961,0
43632,717.68274,0.57505,0.01761,0
43633,717.69922,0.57159,0.0166,0
43634,717.71564,0.57141,0.01191,0
43635,717.73212,0.59335,-0.00325,0
43636,717.74847,0.59381,-0.00692,0
43637,717.76495,0.59363,-0.00457,0
43638,717.78137,0.58778,-0.00847,0
43639,717.79791,0.58913,-0.00071,0
43640,717.81433,0.58923,0.00406,0
43641,717.83069,0.59079,0.01542,0
43642,717.84711,0.59719,0.02699,0
43643,717.86353,0.59726,0.0317,stop
,,0.58212,0.01606,
