TIME,LX,LY,RX,RY
555058502,323.96,541.4,334.08,525.5
555060512,357.81,524.03,359.96,509.72
555062516,359.06,515.53,370.13,502.19
555064512,388.55,489.5,396.78,491.91
555066515,402.75,501.96,426.1,489.53
555068515,413.71,489.99,418.47,477.92
555070515,427.34,485.51,420.16,472.84
555072515,433.29,485.98,409.86,471.69
555074515,438.69,483.54,404.59,476.66
555076513,435.68,485.23,410.03,479.36
555078513,430.36,490.98,400.85,481.79
555080511,435.55,488.9,403.13,475.62
555082538,436.19,487.4,399.72,489.71
555084573,435.13,485.71,407.53,486.67
555086523,434.83,489.6,405.53,492.69
555088524,431.16,487.72,408.52,488.43
555090526,434.74,481.46,409.02,492.23
555092521,429.73,483.72,408.35,495.49
555094525,429.97,480.93,409.26,490.99
555096524,426.28,486.5,411.43,489.36
555098525,429.3,495.25,415.33,489.54
555100523,434.43,489.37,419.74,494.43
555102521,424.84,478.3,416.08,490.76
555104527,432.5,489.13,420.4,500.82
555106527,421.02,481.3,410.95,500.09
555108510,423.45,481.05,416.23,504.54
555110528,428.82,484.77,420.23,500.59
555112526,421.36,487.8,415.12,495.91
555114525,424.82,477.49,418.85,500.8
555116527,426.81,481.72,421.71,495.81
555118524,419.06,491.68,418.51,489.81
555120521,416.85,482.2,417.04,493.02
555122524,423.53,484.36,422.11,492.18
555124533,413.95,487.34,421.98,494.75
555126536,419.03,490.81,413.99,500.17
555128534,411.66,481.87,424.63,493.74
555130534,418.21,483.65,420.87,502.22
555132537,415.48,482.73,420.11,498.02
555134536,417.28,493.56,417.82,494.09
555136536,417.84,493.02,423.51,502.83
555138536,421.26,487.25,420.66,498.85
555140521,409.3,493.84,422.12,489.88
555142517,415.11,486.59,416.22,497.9
555144559,415.98,490.3,418.21,497.74
555146535,412.74,491.33,413.7,503.03
555148535,417.34,484.79,419.16,496.66
555150531,415.86,492.14,415.21,500.2
555152536,414.82,478.73,416.83,499.71
555154532,416.22,478.55,415.57,492.12
555156534,419.96,493.33,418.24,491.07
555158511,405.54,487.3,419.69,501.83
555160543,418.14,485.67,413.12,500.92
555162539,423.36,484.64,413.24,500.13
555164596,419.75,484.04,411.73,496.55
555166541,418.14,478.71,419.72,499.4
555168554,417.24,489.43,417.47,498.58
555170535,418.25,491.3,415.2,498.76
555172527,420.58,489,409.03,496.79
